name,formula,category,basis,A,B,C,D,t_min,t_max,cp_unit,source,data_quality
Yttrium Aluminum Garnet (YAG),Y3Al5O12,Ceramics,specific,0.6556,0.000326,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Cordierite,Mg2Al4Si5O18,Ceramics,specific,0.6725,0.000287,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Steatite,MgSiO3,Ceramics,specific,0.7452,0.000276,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Forsterite,Mg2SiO4,Ceramics,specific,0.6722,0.00033,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Zircon,ZrSiO4,Ceramics,specific,0.6437,0.000295,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Wollastonite,CaSiO3,Ceramics,specific,0.7726,0.00036,0,0,298,1800,J/g/K,Class-typical estimate (NIST-JANAF range) - REPLACE with cited value,placeholder
Cadmium Sulfide,CdS,Semiconductors,specific,0.2674,0.000177,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Cadmium Telluride,CdTe,Semiconductors,specific,0.2636,0.000235,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Lead Sulfide,PbS,Semiconductors,specific,0.308,0.00023,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Indium Antimonide,InSb,Semiconductors,specific,0.2894,0.000173,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Gallium Phosphide,GaP,Semiconductors,specific,0.3089,0.000216,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Aluminium Arsenide,AlAs,Semiconductors,specific,0.2866,0.000239,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Silicon-Germanium Alloy,SiGe,Semiconductors,specific,0.3129,0.000161,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Copper Indium Gallium Selenide,CIGS,Semiconductors,specific,0.3174,0.000184,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Zinc Selenide,ZnSe,Semiconductors,specific,0.2914,0.000235,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Mercury Cadmium Telluride,HgCdTe,Semiconductors,specific,0.274,0.000169,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Boron (semiconducting),B,Semiconductors,specific,0.2616,0.000204,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Bismuth Telluride (thermoelectric),Bi2Te3,Semiconductors,specific,0.272,0.000208,0,0,298,1000,J/g/K,Class-typical estimate (NIST/Materials Project range) - REPLACE with cited value,placeholder
Chromite Refractory Brick,FeCr2O4,Refractories,specific,0.756,0.000264,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Magnesia-Chrome Brick,MgO-Cr2O3,Refractories,specific,0.7405,0.000272,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Fireclay Refractory Brick,Al2O3-SiO2,Refractories,specific,0.6943,0.000349,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Silica Refractory Brick,SiO2,Refractories,specific,0.7806,0.000251,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
High-Alumina Refractory (85%),Al2O3-rich,Refractories,specific,0.7064,0.000273,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Carbon-Bonded Magnesia Brick,MgO-C,Refractories,specific,0.6215,0.000333,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Zirconia-Mullite Refractory,ZrO2-Al2SiO5,Refractories,specific,0.7411,0.000271,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Dolomite Refractory,CaMg(CO3)2,Refractories,specific,0.7473,0.000306,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Spinel-Bonded Magnesia Brick,MgO-MgAl2O4,Refractories,specific,0.7166,0.000241,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Silicon Carbide Refractory,SiC-bonded,Refractories,specific,0.6289,0.000346,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Diamond,C,Other,specific,0.7736,0.000305,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Graphite,C,Other,specific,0.7612,0.00031,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Fullerene (C60),C60,Other,specific,0.6676,0.000255,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Carbon Nanotube (bulk),C,Other,specific,0.6657,0.000348,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Graphene (bulk stacked),C,Other,specific,0.7451,0.000343,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Amorphous Carbon,C,Other,specific,0.7848,0.000265,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Quartz Glass Fiber,SiO2,Other,specific,0.6847,0.000252,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Hydroxyapatite (bioceramic),Ca5(PO4)3OH,Other,specific,0.7417,0.000346,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Barium Sulfate,BaSO4,Other,specific,0.6913,0.000314,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Calcium Fluoride (Fluorite),CaF2,Other,specific,0.64,0.000352,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Lithium Fluoride,LiF,Other,specific,0.7519,0.000357,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
Sodium Chloride (Halite),NaCl,Other,specific,0.7467,0.000346,0,0,298,1800,J/g/K,Class-typical estimate (handbook range) - REPLACE with cited value,placeholder
